A077,161710292,SMA-10-IPS3-2016
A277,161710033,SMA-10-IPA1-2016
A044,161710146,SMA-10-IPA4-2016
A100,161710034,SMA-10-IPA1-2016
A296,161710183,SMA-10-IPA5-2016
A363,161710035,SMA-10-IPA1-2016
A377,161710293,SMA-10-IPS3-2016
A075,161710147,SMA-10-IPA4-2016
A057,161710256,SMA-10-IPS2-2016
A071,161710294,SMA-10-IPS3-2016
A065,161710184,SMA-10-IPA5-2016
A010,161710220,SMA-10-IPS1-2016
A200,161710257,SMA-10-IPS2-2016
A138,161710036,SMA-10-IPA1-2016
A390,161710072,SMA-10-IPA2-2016
A064,161710295,SMA-10-IPS3-2016
K042,1617.10.030,SMK-10-PTV1-2016
K138,1617.10.119,SMK-10-MM1-2016
K101,1617.10.087,SMK-10-PTV3-2016
K025,1617.10.031,SMK-10-PTV1-2016
K195,1617.10.088,SMK-10-PTV3-2016
K139,1617.10.032,SMK-10-PTV1-2016
K168,1617.10.120,SMK-10-MM1-2016
K020,1617.10.121,SMK-10-MM1-2016
K051,1617.10.122,SMK-10-MM1-2016
K070,1617.10.089,SMK-10-PTV3-2016
K023,1617.10.060,SMK-10-PTV2-2016
K072,1617.10.001,SMK-10-TKJ1-2016
K137,1617.10.002,SMK-10-TKJ1-2016
K171,1617.10.033,SMK-10-PTV1-2016
K188,1617.10.123,SMK-10-MM1-2016
K204,1617.10.090,SMK-10-PTV3-2016
K011,1617.10.003,SMK-10-TKJ1-2016
K117,1617.10.034,SMK-10-PTV1-2016
K050,1617.10.124,SMK-10-MM1-2016
K142,1617.10.125,SMK-10-MM1-2016
K082,1617.10.035,SMK-10-PTV1-2016
K076,1617.10.004,SMK-10-TKJ1-2016
K104,1617.10.005,SMK-10-TKJ1-2016
K064,1617.10.061,SMK-10-PTV2-2016
K176,1617.10.006,SMK-10-TKJ1-2016
K086,1617.10.091,SMK-10-PTV3-2016
K132,1617.10.062,SMK-10-PTV2-2016
K080,1617.10.063,SMK-10-PTV2-2016
K160,1617.10.064,SMK-10-PTV2-2016
K121,1617.10.092,SMK-10-PTV3-2016
K085,1617.10.093,SMK-10-PTV3-2016
K152,1617.10.036,SMK-10-PTV1-2016
K135,1617.10.037,SMK-10-PTV1-2016
K185,1617.10.126,SMK-10-MM1-2016
K197,1617.10.065,SMK-10-PTV2-2016
K012,1617.10.038,SMK-10-PTV1-2016
K141,1617.10.127,SMK-10-MM1-2016
K170,1617.10.094,SMK-10-PTV3-2016
K002,1617.10.039,SMK-10-PTV1-2016
K068,1617.10.095,SMK-10-PTV3-2016
K113,1617.10.096,SMK-10-PTV3-2016
K032,1617.10.066,SMK-10-PTV2-2016
K167,1617.10.040,SMK-10-PTV1-2016
K007,1617.10.128,SMK-10-MM1-2016
K094,1617.10.007,SMK-10-TKJ1-2016
K073,1617.10.129,SMK-10-MM1-2016
K159,1617.10.130,SMK-10-MM1-2016
K111,1617.10.131,SMK-10-MM1-2016
K102,1617.10.041,SMK-10-PTV1-2016
K201,1617.10.067,SMK-10-PTV2-2016
K115,1617.10.068,SMK-10-PTV2-2016
K203,1617.10.097,SMK-10-PTV3-2016
K190,1617.10.042,SMK-10-PTV1-2016
K145,1617.10.008,SMK-10-TKJ1-2016
K186,1617.10.132,SMK-10-MM1-2016
K067,1617.10.009,SMK-10-TKJ1-2016
K154,1617.10.069,SMK-10-PTV2-2016
K187,1617.10.133,SMK-10-MM1-2016
K131,1617.10.134,SMK-10-MM1-2016
K103,1617.10.135,SMK-10-MM1-2016
K053,1617.10.098,SMK-10-PTV3-2016
K169,1617.10.136,SMK-10-MM1-2016
K078,1617.10.070,SMK-10-PTV2-2016
K039,1617.10.043,SMK-10-PTV1-2016
K183,1617.10.099,SMK-10-PTV3-2016
K181,1617.10.137,SMK-10-MM1-2016
K091,1617.10.044,SMK-10-PTV1-2016
K049,1617.10.045,SMK-10-PTV1-2016
K136,1617.10.138,SMK-10-MM1-2016
K172,1617.10.010,SMK-10-TKJ1-2016
K096,1617.10.071,SMK-10-PTV2-2016
K046,1617.10.072,SMK-10-PTV2-2016
K177,1617.10.139,SMK-10-MM1-2016
K143,1617.10.100,SMK-10-PTV3-2016
K114,1617.10.046,SMK-10-PTV1-2016
K071,1617.10.011,SMK-10-TKJ1-2016
K140,1617.10.073,SMK-10-PTV2-2016
K200,1617.10.047,SMK-10-PTV1-2016
K119,1617.10.140,SMK-10-MM1-2016
K192,1617.10.012,SMK-10-TKJ1-2016
K017,1617.10.074,SMK-10-PTV2-2016
K063,1617.10.075,SMK-10-PTV2-2016
K019,1617.10.013,SMK-10-TKJ1-2016
K001,1617.10.101,SMK-10-PTV3-2016
K065,1617.10.141,SMK-10-MM1-2016
K059,1617.10.142,SMK-10-MM1-2016
K180,1617.10.014,SMK-10-TKJ1-2016
K081,1617.10.015,SMK-10-TKJ1-2016
K069,1617.10.016,SMK-10-TKJ1-2016
K087,1617.10.017,SMK-10-TKJ1-2016
K083,1617.10.143,SMK-10-MM1-2016
K175,1617.10.102,SMK-10-PTV3-2016
